sample,fastq_1,fastq_2,strandedness,group
RAG_Chow_COL_MACS_1,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAG_Chow_COL_MACS_1_S37_R1_001.fastq.gz,,forward,RAG_Chow_COL_MACS
RAG_Chow_COL_MACS_2,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAG_Chow_COL_MACS_2_S38_R1_001.fastq.gz,,forward,RAG_Chow_COL_MACS
RAG_Chow_COL_MACS_3,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAG_Chow_COL_MACS_3_S39_R1_001.fastq.gz,,forward,RAG_Chow_COL_MACS
RAG_Chow_COL_REST_1,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAG_Chow_COL_REST_1_S13_R1_001.fastq.gz,,forward,RAG_Chow_COL_REST
RAG_Chow_COL_REST_2,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAG_Chow_COL_REST_2_S14_R1_001.fastq.gz,,forward,RAG_Chow_COL_REST
RAG_Chow_COL_REST_3,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAG_Chow_COL_REST_3_S15_R1_001.fastq.gz,,forward,RAG_Chow_COL_REST
RAG_ChowI_MACS_1,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAG_Chow_SI_MACS_1_S43_R1_001.fastq.gz,,forward,RAG_Chow_SI_MACS
RAG_ChowI_MACS_2,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAG_Chow_SI_MACS_2_S44_R1_001.fastq.gz,,forward,RAG_Chow_SI_MACS
RAG_ChowI_MACS_3,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAG_Chow_SI_MACS_3_S45_R1_001.fastq.gz,,forward,RAG_Chow_SI_MACS
RAG_ChowI_REST_1,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAG_Chow_SI_REST_1_S19_R1_001.fastq.gz,,forward,RAG_Chow_SI_REST
RAG_ChowI_REST_2,/data/fastq/241203_NB501289_0892_AHJVVTBGXV/241203_Eswaran_KJM_3mRNAseq/RAG_Chow_SI_REST_2_S20_R1_001.fastq.gz,,forward,RAG_Chow_SI_REST
